time,number,latitude,longitude,t2m
2022-01-01 12:00:00,1,29.75,-1.0,288.07223235347226
2022-01-01 12:00:00,1,29.5,-3.0,288.67640883956085
2022-01-01 12:00:00,1,29.5,-2.75,288.73011341610203
2022-01-01 12:00:00,1,29.5,-2.5,288.7838179926432
2022-01-01 12:00:00,1,29.5,-2.25,288.73906417885894
2022-01-01 12:00:00,1,29.5,-2.0,288.69431036507456
2022-01-01 12:00:00,1,29.5,-1.75,288.6227042630196
2022-01-01 12:00:00,1,29.5,-1.5,288.55109816096467
2022-01-01 12:00:00,1,29.5,-1.25,288.4436890078823
2022-01-01 12:00:00,1,29.5,-1.0,288.33180447342147
2022-01-01 12:00:00,1,29.25,-3.0,288.9091286712394
2022-01-01 12:00:00,1,29.25,-2.75,288.8957025271041
2022-01-01 12:00:00,1,29.25,-2.5,288.9494071036453
2022-01-01 12:00:00,1,29.25,-2.25,288.90465328986096
2022-01-01 12:00:00,1,29.25,-2.0,288.7927687554001
2022-01-01 12:00:00,1,29.25,-1.75,288.71668727196675
2022-01-01 12:00:00,1,29.25,-1.5,288.6450811699118
2022-01-01 12:00:00,1,29.25,-1.25,288.5376720168294
2022-01-01 12:00:00,1,29.25,-1.0,288.4884428216666
2022-01-01 12:00:00,1,29.0,-3.0,289.1418485029179
2022-01-01 12:00:00,1,29.0,-2.75,289.12842235878264
2022-01-01 12:00:00,1,29.0,-2.5,289.1105208332689
2022-01-01 12:00:00,1,29.0,-2.25,289.0031116801865
2022-01-01 12:00:00,1,29.0,-2.0,288.8912271457257
2022-01-01 12:00:00,1,29.0,-1.75,288.81514566229225
2022-01-01 12:00:00,1,29.0,-1.5,288.73906417885894
2022-01-01 12:00:00,1,29.0,-1.25,288.69431036507456
2022-01-01 12:00:00,1,29.0,-1.0,288.6450811699118
2022-01-01 12:00:00,1,28.75,-3.0,289.33876528356905
2022-01-01 12:00:00,1,28.75,-2.75,289.32086375805534
2022-01-01 12:00:00,1,28.75,-2.5,289.2447822746219
2022-01-01 12:00:00,1,28.75,-2.25,289.13289774016107
2022-01-01 12:00:00,1,28.75,-2.0,289.0210132057002
2022-01-01 12:00:00,1,28.75,-1.75,288.9494071036453
2022-01-01 12:00:00,1,28.75,-1.5,288.86437485745506
2022-01-01 12:00:00,1,28.75,-1.25,288.833047187806
2022-01-01 12:00:00,1,28.75,-1.0,288.7838179926432
2022-01-01 12:00:00,2,31.0,-3.0,287.5038589184112
2022-01-01 12:00:00,2,31.0,-2.75,287.73657875008973
2022-01-01 12:00:00,2,31.0,-2.5,287.96482320038984
2022-01-01 12:00:00,2,31.0,-2.25,287.7276279873329
2022-01-01 12:00:00,2,31.0,-2.0,287.49043277427586
2022-01-01 12:00:00,2,31.0,-1.75,287.3114175191385
2022-01-01 12:00:00,2,31.0,-1.5,287.13240226400114
2022-01-01 12:00:00,2,31.0,-1.25,287.0831730688384
2022-01-01 12:00:00,2,31.0,-1.0,287.03394387367564
2022-01-01 12:00:00,2,30.75,-3.0,287.7679064197388
2022-01-01 12:00:00,2,30.75,-2.75,287.9961508700389
2022-01-01 12:00:00,2,30.75,-2.5,288.15726459966254
2022-01-01 12:00:00,2,30.75,-2.25,287.9200693866055
2022-01-01 12:00:00,2,30.75,-2.0,287.6828741735485
2022-01-01 12:00:00,2,30.75,-1.75,287.5038589184112
2022-01-01 12:00:00,2,30.75,-1.5,287.3337944260307
2022-01-01 12:00:00,2,30.75,-1.25,287.27561446811103
2022-01-01 12:00:00,2,30.75,-1.0,287.2263852729483
2022-01-01 12:00:00,2,30.5,-3.0,288.02747853968793
2022-01-01 12:00:00,2,30.5,-2.75,288.1885922693116
2022-01-01 12:00:00,2,30.5,-2.5,288.3497059989352
2022-01-01 12:00:00,2,30.5,-2.25,288.11251078587816
2022-01-01 12:00:00,2,30.5,-2.0,287.87084019144277
2022-01-01 12:00:00,2,30.5,-1.75,287.7052510804407
2022-01-01 12:00:00,2,30.5,-1.5,287.53518658806024
2022-01-01 12:00:00,2,30.5,-1.25,287.4770066301405
2022-01-01 12:00:00,2,30.5,-1.0,287.42330205359934
2022-01-01 12:00:00,2,30.25,-3.0,288.24229684585276
2022-01-01 12:00:00,2,30.25,-2.75,288.327329092043
2022-01-01 12:00:00,2,30.25,-2.5,288.4884428216666
2022-01-01 12:00:00,2,30.25,-2.25,288.2512476086096
2022-01-01 12:00:00,2,30.25,-2.0,288.0632815907154
2022-01-01 12:00:00,2,30.25,-1.75,287.9603478190114
2022-01-01 12:00:00,2,30.25,-1.5,287.79475870800934
2022-01-01 12:00:00,2,30.25,-1.25,287.73657875008973
2022-01-01 12:00:00,2,30.25,-1.0,287.6649726480348
2022-01-01 12:00:00,2,30.0,-3.0,288.45263977063917
2022-01-01 12:00:00,2,30.0,-2.75,288.5421473982078
2022-01-01 12:00:00,2,30.0,-2.5,288.63165502577647
